egr_fraction,Tad,NO_ppm
0.0,2225.5245834770026,1888.2057584032957
0.016666666666666666,2205.4683482304226,1730.8723324433686
0.03333333333333333,2184.9559271119524,1579.9871606203517
0.05,2163.9777905344067,1435.7915584256534
0.06666666666666667,2142.5255670658694,1298.5034084059316
0.08333333333333333,2120.5922560008325,1168.3123505539556
0.1,2098.1724353814407,1045.3748986591831
0.11666666666666667,2075.262454648632,929.8096614404197
0.13333333333333333,2051.8605984796336,821.6928899152753
0.15,2027.967205583592,721.0546146011831
0.16666666666666666,2003.584723148834,627.8756772321063
0.18333333333333332,1978.7176741029218,542.0860059820023
0.2,1953.3725097409342,463.5645416550606
0.21666666666666667,1927.5573138863278,392.14132185362666
0.23333333333333334,1901.2813158731153,327.6024215813518
0.25,1874.5541596496796,269.6988168889554
