fraction,N2,CO2,H2O
0.0,2225.5245834770026,2225.5245834770026,2225.5245834770026
0.02,2203.458590264884,2184.70468260369,2195.172057839403
0.04,2180.6023776351535,2144.330715282719,2164.24413268259
0.06,2156.933186501209,2104.166869124073,2132.718215516825
0.08,2132.431041481315,2064.0351472384223,2100.5817916166047
0.1,2107.0794651653127,2023.8054304977372,2067.832434563967
0.12,2080.866198860199,1983.3886869633725,2034.4776804744272
0.14,2053.783887317887,1942.7320314350254,2000.5346536312054
0.16,2025.8306759048494,1901.814620845134,1966.0293681043122
0.18,1997.0106631174458,1860.6436490539259,1930.9956740846226
0.2,1967.3341515492405,1819.2499823831342,1895.473866226966
0.22,1936.8176480391544,1777.6832581958079,1859.5090183089926
0.24,1905.4835795956549,1736.0065319830858,1823.14914629081
0.26,1873.3597149151328,1694.2907647035568,1786.4433238582717
0.28,1840.4783092486487,1652.609553471278,1749.4398774346664
0.3,1806.8750188396489,1611.0345087376236,1712.184772187717
