phi,air,oxy,egr
0.6,1665.9477483103954,1302.5760578011966,1419.3359768124906
0.7,1838.6195726847366,1434.9075422999847,1564.8718070704465
0.7999999999999999,1996.887024052541,1561.3094375720364,1702.9830566644844
0.8999999999999999,2134.2379207450767,1681.315161789026,1835.2499785202886
1.0,2225.5245834770026,1782.9737120486568,1953.3725097409342
1.0999999999999999,2210.383262197842,1734.245764397601,1891.410806662477
1.2,2136.521896470917,1669.7301361763257,1823.8473066593965
1.2999999999999998,2057.300309622933,1606.6141599124624,1759.9200281304106
1.4,1979.778887145743,1545.0732581168327,1698.3766715445045
